表,位置,字段,观测值,校正值,标准化调整
1A,2025-01/A7,水电发电量,91.126,91.803,0.371
1A,2025-11/A3,火电发电量,95.884,96.595,0.371
1A,2025-05/A8,终端用电合计,363.657,361.632,-0.371
1A,2025-05/A8,工业用电,180.642,179.306,-0.37
1A,2025-04/A2,终端用电合计,806.715,802.234,-0.37
1A,2025-02/A7,终端用电合计,319.422,317.654,-0.369
1A,2025-11/A5,居民用电,183.854,182.498,-0.369
1A,2025-10/A2,火电发电量,384.441,387.272,0.368
1A,2025-06/A2,工业用电,482.725,479.196,-0.366
1A,2025-11/A1,火电发电量,304.321,306.543,0.365
1A,2025-12/A1,火电发电量,353.962,356.542,0.364
1A,2025-02/A7,水电发电量,91.175,91.837,0.363
1A,2025-02/A7,居民用电,152.922,151.814,-0.362
1A,2025-02/A3,终端用电合计,738.378,734.374,-0.362
1A,2025-05/A2,终端用电合计,829.1,824.655,-0.357
1A,2025-11/A4,工业用电,575.598,571.488,-0.357
1A,2025-04/A8,水电发电量,117.813,118.652,0.356
1A,2025-03/A8,火电发电量,130.718,131.648,0.356
1A,2025-08/A2,省外输入电量,432.926,436.001,0.355
1A,2025-06/A6,工业用电,277.06,275.09,-0.355
1A,2025-02/A3,建筑服务用电,285.2,283.177,-0.355
1A,2025-11/A5,终端用电合计,377.01,375.012,-0.353
1A,2025-11/A4,终端用电合计,867.146,862.571,-0.352
1A,2025-04/A8,工业用电,183.508,182.221,-0.351
1A,2025-06/A2,终端用电合计,873.602,869.003,-0.351
1A,2025-11/A7,终端用电合计,273.829,272.396,-0.349
1A,2025-12/A8,终端用电合计,363.232,361.341,-0.347
1A,2025-12/A8,工业用电,179.227,177.984,-0.347
1A,2025-04/A8,终端用电合计,355.081,353.231,-0.347
1A,2025-02/A2,工业用电,474.985,471.696,-0.346
1A,2025-12/A5,居民用电,197.731,196.362,-0.346
1A,2025-04/A1,火电发电量,292.978,295.002,0.345
1A,2025-03/A6,终端用电合计,591.037,594.095,0.345
1A,2025-12/A7,终端用电合计,300.668,299.11,-0.345
1A,2025-05/A7,终端用电合计,299.655,298.111,-0.344
1A,2025-12/A4,工业用电,617.792,613.55,-0.343
1A,2025-10/A7,终端用电合计,300.511,298.971,-0.342
1B,2025-12/E11,受端电量,129.822,130.929,0.341
1B,2025-01/E11,受端电量,116.582,117.568,0.338
1A,2025-12/A4,终端用电合计,929.525,924.81,-0.338
1A,2025-03/A7,终端用电合计,295.461,293.962,-0.338
1A,2025-11/A7,居民用电,133.546,132.645,-0.337
1A,2025-12/A7,居民用电,143.616,142.648,-0.337
1A,2025-09/A1,火电发电量,310.771,312.86,0.336
2A,A1,本地发电量,4598.433,4575.298,-0.335
1A,2025-11/A2,工业用电,417.473,414.676,-0.335
1A,2025-05/A7,居民用电,145.698,144.721,-0.335
1A,2025-02/A5,居民用电,211.983,210.571,-0.333
1A,2025-02/A2,终端用电合计,858.985,854.707,-0.332
1A,2025-06/A4,工业用电,662.208,657.808,-0.332
1A,2025-12/A7,水电发电量,84.081,84.639,0.332
1A,2025-10/A7,居民用电,143.263,142.316,-0.331
1A,2025-02/A4,工业用电,656.068,651.724,-0.331
1B,2025-01/E10,受端电量,269.426,271.643,0.329
1A,2025-01/A8,火电发电量,147.676,148.649,0.329
1A,2025-09/A7,终端用电合计,330.909,329.282,-0.328
1A,2025-06/A4,终端用电合计,1001.276,996.355,-0.328
1A,2025-03/A7,居民用电,140.387,139.47,-0.327
1A,2025-06/A5,工业用电,128.282,129.121,0.327
1A,2025-02/A1,火电发电量,332.218,334.392,0.327
1A,2025-12/A5,终端用电合计,410.36,408.348,-0.327
1A,2025-06/A6,终端用电合计,634.395,631.295,-0.326
1A,2025-12/A3,终端用电合计,695.289,691.893,-0.326
1A,2025-02/A4,终端用电合计,987.697,982.859,-0.326
1A,2025-08/A6,工业用电,347.16,344.903,-0.325
1A,2025-01/A5,居民用电,232.76,231.248,-0.325
1A,2025-07/A3,建筑服务用电,358.962,356.645,-0.323
1A,2025-07/A2,省外输入电量,333.919,336.079,0.323
1A,2025-03/A5,居民用电,193.287,192.039,-0.323
1A,2025-03/A8,工业用电,185.323,184.13,-0.322
1A,2025-09/A7,居民用电,157.386,156.372,-0.322
1A,2025-11/A2,终端用电合计,755.693,752.054,-0.321
1A,2025-12/A3,建筑服务用电,270.433,268.696,-0.321
1A,2025-05/A6,工业用电,259.804,258.135,-0.321
1A,2025-06/A1,火电发电量,291.074,292.944,0.321
1A,2025-08/A3,建筑服务用电,387.084,384.606,-0.32
2A,A8,终端用电量,4641.269,4619.048,-0.319
1A,2025-03/A8,终端用电合计,359.813,358.098,-0.318
1B,2025-03/E10,送端电量,175.175,176.568,0.318
1A,2025-06/A3,终端用电合计,749.472,745.898,-0.318
1A,2025-03/A2,省外输入电量,199.149,200.411,0.317
1A,2025-07/A2,工业用电,549.396,545.922,-0.316
1A,2025-01/A8,工业用电,214.137,212.792,-0.314
2B,E08,年度送端汇总,323.457,324.978,0.313
1A,2025-10/A5,居民用电,194.171,192.956,-0.313
1A,2025-09/A1,终端用电合计,1303.699,1297.604,-0.312
1A,2025-05/A1,火电发电量,279.862,281.602,0.311
1A,2025-07/A3,终端用电合计,874.39,870.305,-0.311
1A,2025-04/A6,工业用电,265.093,263.446,-0.311
1A,2025-02/A5,终端用电合计,438.692,436.651,-0.31
1A,2025-03/A1,火电发电量,308.433,310.337,0.309
1A,2025-06/A1,终端用电合计,1254.806,1248.99,-0.309
1A,2025-10/A6,工业用电,273.206,271.517,-0.309
1A,2025-01/A1,火电发电量,350.217,352.38,0.309
1A,2025-01/A8,终端用电合计,429.483,427.5,-0.308
1A,2025-04/A1,终端用电合计,1161.212,1155.841,-0.308
1A,2025-08/A3,终端用电合计,940.419,936.075,-0.308
1A,2025-03/A5,终端用电合计,406.198,404.336,-0.306
1A,2025-01/A3,终端用电合计,817.786,814.041,-0.305
1A,2025-06/A7,终端用电合计,315.971,314.523,-0.305
1A,2025-12/A6,火电发电量,168.249,169.274,0.305
1A,2025-07/A2,终端用电合计,989.252,984.738,-0.304
1A,2025-06/A3,建筑服务用电,279.456,277.762,-0.303
1A,2025-04/A2,省外输入电量,211.999,213.285,0.303
1A,2025-09/A6,工业用电,299.2,297.384,-0.303
1B,2025-02/E10,受端电量,257.789,259.736,0.302
1A,2025-01/A3,建筑服务用电,315.63,313.732,-0.301
1A,2025-07/A6,工业用电,322.787,320.846,-0.301
1A,2025-07/A4,工业用电,752.576,748.039,-0.301
1A,2025-06/A7,居民用电,154.131,153.206,-0.3
1A,2025-06/A6,火电发电量,139.252,140.087,0.3
1A,2025-01/A5,终端用电合计,485.014,482.846,-0.298
1A,2025-07/A4,终端用电合计,1131.168,1126.127,-0.297
1A,2025-07/A7,终端用电合计,358.233,356.639,-0.297
1B,2025-05/E05,送端电量,567.183,571.385,0.296
1A,2025-05/A1,终端用电合计,1185.675,1180.435,-0.295
1A,2025-05/A6,终端用电合计,599.024,596.377,-0.295
1A,2025-10/A5,终端用电合计,409.802,407.987,-0.295
1A,2025-08/A6,终端用电合计,795.395,791.883,-0.294
1B,2025-06/E05,送端电量,608.327,603.853,-0.294
1A,2025-10/A2,省外输入电量,313.682,315.523,0.293
1A,2025-11/A1,终端用电合计,1081.75,1076.99,-0.293
1A,2025-03/A6,火电发电量,146.829,145.971,-0.292
1A,2025-07/A7,居民用电,165.376,164.41,-0.292
1A,2025-06/A5,光伏发电量,83.043,82.563,-0.289
1A,2025-08/A2,工业用电,588.878,585.494,-0.287
1A,2025-06/A8,工业用电,189.086,188.006,-0.286
1A,2025-11/A8,水电发电量,78.143,78.591,0.286
1A,2025-06/A8,火电发电量,123.423,124.129,0.286
1A,2025-04/A3,终端用电合计,689.755,686.809,-0.285
1B,2025-09/E05,受端电量,641.216,645.775,0.284
1A,2025-08/A4,工业用电,800.3,795.758,-0.284
1A,2025-06/A8,终端用电合计,380.105,378.486,-0.284
1A,2025-10/A1,火电发电量,290.855,292.488,0.281
1A,2025-04/A6,终端用电合计,584.679,582.221,-0.28
1A,2025-08/A4,终端用电合计,1209.982,1204.907,-0.28
1A,2025-09/A4,终端用电合计,1041.82,1037.465,-0.279
1A,2025-10/A6,终端用电合计,601.286,598.773,-0.279
1A,2025-09/A4,工业用电,718.249,714.245,-0.279
1A,2025-08/A2,终端用电合计,1063.287,1058.839,-0.279
1A,2025-08/A1,火电发电量,355.216,357.19,0.278
1A,2025-04/A4,终端用电合计,921.868,918.053,-0.276
1A,2025-04/A4,工业用电,635.443,631.938,-0.276
1A,2025-10/A3,终端用电合计,709.606,706.666,-0.276
1A,2025-05/A6,火电发电量,132.279,133.006,0.275
1A,2025-12/A2,工业用电,449.292,446.832,-0.274
1A,2025-01/A2,工业用电,524.912,522.044,-0.273
1A,2025-04/A3,建筑服务用电,256.098,254.7,-0.273
1A,2025-12/A6,工业用电,257.178,255.774,-0.273
1A,2025-04/A6,火电发电量,136.67,137.416,0.273
1A,2025-02/A3,居民用电,219.041,217.848,-0.272
1A,2025-08/A6,火电发电量,168.677,169.596,0.272
1A,2025-09/A6,终端用电合计,662.461,659.755,-0.272
1A,2025-07/A6,终端用电合计,738.414,735.402,-0.272
2B,E06,年度受端汇总,185.891,185.137,-0.27
1A,2025-02/A6,工业用电,270.584,269.141,-0.267
1A,2025-02/A6,火电发电量,157.609,158.45,0.267
1A,2025-09/A3,终端用电合计,783.897,780.765,-0.266
1A,2025-10/A6,火电发电量,137.676,138.409,0.266
1A,2025-02/A1,终端用电合计,1233.652,1228.725,-0.266
1A,2025-01/A2,终端用电合计,948.594,944.808,-0.266
1A,2025-10/A3,建筑服务用电,263.745,262.348,-0.265
1A,2025-03/A3,终端用电合计,698.699,695.923,-0.265
1A,2025-12/A2,终端用电合计,809.401,806.191,-0.264
1A,2025-12/A1,终端用电合计,1150.355,1145.845,-0.261
1A,2025-05/A3,终端用电合计,709.559,706.781,-0.261
1A,2025-10/A2,工业用电,476.122,473.644,-0.26
1A,2025-01/A1,终端用电合计,1369.629,1364.295,-0.26
1A,2025-06/A1,居民用电,409.882,407.757,-0.259
1A,2025-09/A3,建筑服务用电,291.014,289.514,-0.258
1A,2025-09/A1,工业用电,402.461,400.395,-0.257
1B,2025-07/E06,受端电量,69.384,69.83,0.257
1A,2025-03/A1,终端用电合计,1167.854,1163.351,-0.257
1A,2025-03/A3,建筑服务用电,259.923,258.598,-0.255
2B,E05,年度送端汇总,7077.751,7104.874,0.255
1A,2025-08/A1,终端用电合计,1563.113,1557.125,-0.255
1A,2025-09/A6,火电发电量,146.058,146.804,0.255
1A,2025-06/A3,居民用电,233.191,232.011,-0.253
1A,2025-07/A6,火电发电量,157.168,157.962,0.253
1A,2025-07/A8,居民用电,125.388,124.752,-0.253
1A,2025-11/A6,火电发电量,144.497,145.23,0.253
1B,2025-02/E10,送端电量,264.266,265.933,0.252
1A,2025-10/A2,终端用电合计,826.098,822.979,-0.252
1A,2025-09/A1,居民用电,404.34,402.311,-0.251
1A,2025-05/A1,居民用电,393.511,391.538,-0.251
1A,2025-04/A1,工业用电,359.535,357.728,-0.251
2B,E03,年度送端汇总,1581.24,1587.159,0.25
1A,2025-10/A1,终端用电合计,1186.841,1182.387,-0.25
1A,2025-04/A1,居民用电,367.159,365.32,-0.25
1A,2025-03/A8,水电发电量,91.287,91.741,0.249
1A,2025-12/A6,终端用电合计,587.928,585.735,-0.249
1A,2025-05/A3,建筑服务用电,263.122,261.811,-0.249
1A,2025-11/A1,居民用电,356.946,355.173,-0.248
1A,2025-10/A4,终端用电合计,944.397,940.877,-0.248
1A,2025-10/A4,工业用电,651.637,648.405,-0.248
1A,2025-01/A4,工业用电,719.563,716.012,-0.247
1B,2025-03/E05,受端电量,538.339,541.654,0.246
1A,2025-05/A5,居民用电,199.613,198.632,-0.246
1A,2025-01/A6,工业用电,302.99,301.502,-0.245
1A,2025-01/A4,终端用电合计,1087.702,1083.715,-0.244
1A,2025-06/A1,工业用电,375.582,373.749,-0.244
1A,2025-05/A2,省外输入电量,176.871,177.729,0.243
1A,2025-02/A6,终端用电合计,622.355,620.085,-0.243
1A,2025-11/A6,工业用电,237.078,235.926,-0.243
1A,2025-01/A7,工业用电,87.967,87.54,-0.243
1A,2025-12/A3,居民用电,203.722,202.736,-0.242
1A,2025-03/A4,终端用电合计,934.326,930.947,-0.241
1A,2025-03/A4,工业用电,644.98,641.878,-0.241
1B,2025-01/E04,受端电量,225.593,224.233,-0.241
1A,2025-09/A1,建筑服务用电,385.811,383.964,-0.239
1B,2025-03/E11,受端电量,91.467,92.01,0.238
1A,2025-01/A6,火电发电量,164.866,165.641,0.235
1A,2025-04/A5,居民用电,191.076,190.178,-0.235
1A,2025-04/A1,建筑服务用电,343.708,342.096,-0.234
1A,2025-06/A1,建筑服务用电,370.057,368.324,-0.234
1A,2025-08/A7,工业用电,95.102,94.66,-0.232
1A,2025-01/A3,居民用电,242.01,240.894,-0.231
1A,2025-11/A1,工业用电,322.607,321.123,-0.23
1A,2025-05/A1,工业用电,351.295,349.681,-0.23
2A,A7,工业用电量,953.226,956.492,0.228
1A,2025-11/A8,居民用电,102.201,101.736,-0.227
1B,2025-01/E05,送端电量,675.499,679.296,0.225
1A,2025-05/A5,终端用电合计,410.172,408.786,-0.225
2A,A7,本地发电量,2827.912,2837.387,0.223
1A,2025-01/A6,终端用电合计,692.225,689.911,-0.223
1A,2025-11/A6,终端用电合计,543.958,542.148,-0.222
1A,2025-05/A1,建筑服务用电,348.079,346.535,-0.222
1A,2025-02/A8,居民用电,117.567,117.045,-0.222
1B,2025-07/E05,受端电量,623.614,627.073,0.222
1A,2025-04/A3,居民用电,207.136,206.222,-0.221
1A,2025-11/A1,建筑服务用电,317.647,316.243,-0.221
1A,2025-08/A8,居民用电,135.425,134.825,-0.221
1A,2025-07/A1,省外输入电量,970.434,974.697,0.22
1A,2025-05/A8,居民用电,111.662,111.171,-0.22
1A,2025-02/A8,水电发电量,71.29,71.602,0.218
1A,2025-04/A5,终端用电合计,401.536,400.231,-0.217
1A,2025-02/A1,居民用电,390.522,388.831,-0.217
1A,2025-09/A5,居民用电,212.093,211.175,-0.216
1A,2025-10/A3,居民用电,214.62,213.695,-0.215
1A,2025-11/A7,风电发电量,36.95,37.165,0.215
1A,2025-02/A7,工业用电,79.773,79.431,-0.215
1A,2025-11/A7,火电发电量,23.974,24.189,0.215
1A,2025-11/A7,光伏发电量,18.472,18.686,0.215
1A,2025-08/A1,建筑服务用电,506.725,504.558,-0.214
1B,2025-10/E10,送端电量,189.459,188.446,-0.214
1A,2025-12/A1,居民用电,364.298,362.747,-0.213
1A,2025-01/A1,居民用电,437.821,435.956,-0.213
1A,2025-02/A1,建筑服务用电,380.301,378.697,-0.211
1B,2025-04/E10,受端电量,56.243,56.538,0.21
1A,2025-03/A1,工业用电,360.624,359.111,-0.21
1A,2025-03/A1,居民用电,371.403,369.845,-0.21
1A,2025-07/A3,居民用电,233.223,232.245,-0.21
1A,2025-02/A1,工业用电,365.656,364.128,-0.209
1A,2025-05/A3,居民用电,220.233,219.314,-0.208
1A,2025-09/A3,居民用电,233.928,232.959,-0.207
1A,2025-08/A3,居民用电,249.872,248.839,-0.207
1A,2025-08/A5,居民用电,244.994,243.986,-0.206
1A,2025-12/A1,工业用电,342.683,341.271,-0.206
1A,2025-12/A8,居民用电,110.797,110.34,-0.206
1A,2025-12/A1,建筑服务用电,352.373,350.922,-0.206
1A,2025-03/A3,居民用电,208.726,207.871,-0.205
1A,2025-10/A1,工业用电,366.601,365.099,-0.205
1A,2025-10/A7,工业用电,77.881,77.562,-0.205
1A,2025-09/A8,居民用电,113.647,113.181,-0.205
1A,2025-01/A7,风电发电量,42.927,43.131,0.204
1A,2025-01/A7,光伏发电量,18.381,18.584,0.204
1A,2025-01/A7,火电发电量,27.365,27.569,0.204
1A,2025-01/A1,建筑服务用电,418.313,416.61,-0.204
1A,2025-01/A1,工业用电,404.725,403.075,-0.204
1A,2025-08/A1,工业用电,463.049,461.166,-0.203
1A,2025-10/A1,居民用电,374.783,373.261,-0.203
1B,2025-03/E03,受端电量,150.93,151.691,0.202
1B,2025-04/E08,送端电量,57.093,56.804,-0.202
1A,2025-03/A7,工业用电,76.327,76.018,-0.202
1A,2025-11/A2,省外输入电量,149.281,149.883,0.202
1A,2025-02/A3,工业用电,175.293,174.589,-0.201
1A,2025-09/A7,工业用电,84.879,84.537,-0.201
1A,2025-02/A7,风电发电量,41.323,41.522,0.199
1A,2025-02/A7,火电发电量,26.175,26.374,0.199
1A,2025-02/A7,光伏发电量,20.043,20.242,0.199
1B,2025-04/E05,受端电量,531.224,533.859,0.198
1A,2025-06/A2,省外输入电量,154.894,155.506,0.198
1A,2025-12/A7,工业用电,74.377,74.082,-0.198
1A,2025-12/A7,火电发电量,28.12,28.317,0.197
1A,2025-12/A7,光伏发电量,16.979,17.176,0.197
1A,2025-12/A7,风电发电量,41.407,41.604,0.197
1A,2025-03/A7,光伏发电量,24.183,24.379,0.196
1A,2025-03/A7,火电发电量,24.35,24.546,0.196
1A,2025-03/A7,风电发电量,39.494,39.691,0.196
1A,2025-05/A7,工业用电,74.965,74.671,-0.196
1A,2025-05/A7,火电发电量,21.899,22.094,0.195
1A,2025-05/A7,风电发电量,28.906,29.101,0.195
2B,E01,年度受端汇总,260.576,259.813,-0.195
1A,2025-10/A7,光伏发电量,24.109,24.303,0.195
1A,2025-10/A7,风电发电量,32.79,32.985,0.195
1A,2025-10/A7,火电发电量,23.021,23.215,0.195
1A,2025-05/A7,光伏发电量,29.872,30.067,0.195
1B,2025-09/E10,送端电量,127.883,127.261,-0.195
1A,2025-12/A8,水电发电量,64.322,64.572,0.194
1A,2025-08/A1,居民用电,460.139,458.352,-0.194
1A,2025-03/A1,建筑服务用电,344.071,342.734,-0.194
1A,2025-11/A3,风电发电量,18.323,18.517,0.193
1A,2025-11/A7,工业用电,67.721,67.46,-0.193
1A,2025-11/A3,光伏发电量,30.632,30.825,0.193
1A,2025-11/A3,水电发电量,5.601,5.794,0.193
1A,2025-09/A5,终端用电合计,450.076,448.778,-0.192
1A,2025-06/A6,居民用电,153.027,152.442,-0.191
1B,2025-12/E04,送端电量,117.354,116.792,-0.191
1A,2025-10/A1,建筑服务用电,350.722,349.39,-0.19
1B,2025-06/E09,受端电量,29.944,30.086,0.19
1A,2025-03/A6,居民用电,131.4,131.894,0.188
1A,2025-04/A8,居民用电,101.716,101.336,-0.187
1B,2025-09/E11,受端电量,38.451,38.629,0.185
1B,2025-12/E04,受端电量,112.747,113.268,0.185
1A,2025-07/A7,工业用电,88.056,87.733,-0.184
1A,2025-11/A8,光伏发电量,15.272,15.455,0.183
