需求点编号,X坐标(km),Y坐标(km),区域类型,无人车可达性,末端道路绕行系数,A类包裹数量,B类包裹数量
D0076,36.100000000000001,45.799999999999997,urban,yes,1.0800000000000001,9,0
D0077,39.409999999999997,92.560000000000002,urban,yes,1.0700000000000001,11,0
D0078,34.560000000000002,94.099999999999994,urban,yes,1.0800000000000001,4,1
D0079,43.549999999999997,71.890000000000001,urban,yes,1.28,7,0
D0080,44.829999999999998,14,urban,yes,1.21,9,0
D0081,43.700000000000003,63.420000000000002,urban,yes,1.0800000000000001,5,1
D0082,42.420000000000002,92.760000000000005,urban,yes,1.1399999999999999,6,1
D0083,30.039999999999999,13.32,mountain,no,,5,0
D0084,88.549999999999997,87.650000000000006,hill,yes,1.3999999999999999,5,0
D0085,55.090000000000003,37.5,urban,yes,1.27,6,1
D0086,92.269999999999996,69.260000000000005,urban,yes,1.23,6,0
D0087,59.359999999999999,10.23,mountain,no,,2,0
D0088,32.049999999999997,57.030000000000001,urban,yes,1.3300000000000001,10,0
D0089,90.769999999999996,12.869999999999999,mountain,yes,2.2599999999999998,6,0
D0090,93.159999999999997,61.759999999999998,urban,yes,1.1899999999999999,7,1
D0091,14.94,17.739999999999998,hill,yes,1.74,6,0
D0092,97.900000000000006,34.240000000000002,hill,yes,1.72,4,0
D0093,70.329999999999998,20.109999999999999,mountain,no,,4,0
D0094,56.259999999999998,47.969999999999999,urban,no,,6,0
D0095,39.460000000000001,21.719999999999999,hill,yes,1.6000000000000001,2,0
D0096,18.350000000000001,68.230000000000004,hill,yes,1.6399999999999999,4,0
D0097,89.829999999999998,49.18,hill,yes,1.6599999999999999,4,0
D0098,12.119999999999999,29.359999999999999,lake,no,,4,0
D0099,19.609999999999999,11.23,hill,yes,1.6299999999999999,2,0
D0100,62.880000000000003,44.210000000000001,urban,yes,1.3300000000000001,7,0
D0101,51.189999999999998,51.579999999999998,urban,yes,1.0600000000000001,12,0
D0102,47.759999999999998,51.25,urban,yes,1.3,4,0
D0103,90.989999999999995,40.329999999999998,hill,yes,1.6699999999999999,5,0
D0104,22.579999999999998,40.140000000000001,urban,yes,1.25,2,1
D0105,77.109999999999999,65.450000000000003,hill,yes,1.5,7,1
D0106,36.659999999999997,12.949999999999999,hill,no,,9,0
D0107,62.159999999999997,45.479999999999997,urban,yes,1.0800000000000001,7,1
D0108,29.739999999999998,40.219999999999999,urban,no,,3,0
D0109,56.960000000000001,17.379999999999999,urban,yes,1.25,6,0
D0110,22.739999999999998,7.1200000000000001,hill,no,,5,0
D0111,89.200000000000003,0.59999999999999998,mountain,no,,2,0
D0112,50.719999999999999,94.900000000000006,urban,yes,1.1799999999999999,4,2
D0113,1.5600000000000001,80.239999999999995,lake,yes,1.5800000000000001,3,0
D0114,57.659999999999997,76.25,urban,yes,1.25,2,1
D0115,65.969999999999999,76.870000000000005,lake,yes,1.73,3,0
D0116,44.939999999999998,99.439999999999998,urban,yes,1.1499999999999999,12,0
D0117,82.939999999999998,69.739999999999995,urban,yes,1.25,7,2
D0118,97.319999999999993,31.760000000000002,hill,no,,4,0
D0119,36.880000000000003,60.549999999999997,urban,yes,1.2,6,2
D0120,48.18,29.649999999999999,urban,yes,1.25,8,0
D0121,51.960000000000001,16.170000000000002,urban,yes,1.1599999999999999,11,1
D0122,54.729999999999997,22.170000000000002,urban,yes,1.1699999999999999,3,0
D0123,49.32,92.510000000000005,urban,yes,1.3,5,1
D0124,61.079999999999998,43.039999999999999,urban,yes,1.26,2,0
D0125,91.549999999999997,62.630000000000003,hill,yes,1.3600000000000001,6,0
D0126,91.840000000000003,64.170000000000002,urban,yes,1.1399999999999999,4,0
D0127,34.939999999999998,5.8700000000000001,urban,yes,1.23,6,0
D0128,41.979999999999997,10.550000000000001,urban,yes,1.1200000000000001,6,0
D0129,93.780000000000001,69.609999999999999,urban,yes,1.1399999999999999,8,0
D0130,64.25,81.120000000000005,lake,no,,5,1
D0131,92.920000000000002,65.079999999999998,urban,yes,1.29,8,2
D0132,78.909999999999997,71.049999999999997,urban,yes,1.3400000000000001,10,0
D0133,85.120000000000005,39.469999999999999,hill,yes,1.28,5,1
D0134,60.229999999999997,55.789999999999999,urban,yes,1.3300000000000001,10,1
D0135,37.909999999999997,52.229999999999997,urban,yes,1.0700000000000001,11,0
D0136,89.760000000000005,86.930000000000007,hill,yes,1.6899999999999999,5,0
D0137,60.310000000000002,42.270000000000003,urban,yes,1.1799999999999999,8,0
D0138,66.370000000000005,59.039999999999999,urban,yes,1.0900000000000001,7,0
D0139,56.869999999999997,27.100000000000001,urban,yes,1.0700000000000001,6,0
D0140,15.880000000000001,65.450000000000003,hill,yes,1.55,7,0
D0141,42.229999999999997,91.840000000000003,urban,yes,1.1599999999999999,8,1
D0142,83.209999999999994,81.870000000000005,hill,no,,2,1
D0143,98.909999999999997,61.710000000000001,urban,yes,1.27,10,0
D0144,98.549999999999997,76.310000000000002,urban,yes,1.25,8,0
D0145,94.629999999999995,79.629999999999995,hill,no,,10,0
D0146,85,67.579999999999998,urban,yes,1.0800000000000001,2,0
D0147,32.310000000000002,37.359999999999999,urban,yes,1.25,11,0
D0148,87.579999999999998,22.510000000000002,mountain,no,,5,0
D0149,47.119999999999997,49.18,urban,yes,1.21,5,1
D0150,22.57,38.780000000000001,urban,yes,1.2,7,1
D0151,37.409999999999997,19.969999999999999,hill,yes,1.46,8,0
D0152,62.350000000000001,34.479999999999997,urban,yes,1.2,6,0
D0153,77.890000000000001,28.289999999999999,mountain,no,,5,0
D0154,16.16,71.079999999999998,hill,no,,4,0
D0155,29.100000000000001,64.340000000000003,hill,no,,6,0
D0156,69.939999999999998,78.670000000000002,urban,yes,1.21,5,1
D0157,66.069999999999993,58.969999999999999,urban,yes,1.1899999999999999,5,0
D0158,81.969999999999999,83.099999999999994,urban,yes,1.26,6,0
D0159,88.030000000000001,68.659999999999997,urban,yes,1.1799999999999999,11,0
D0160,50.289999999999999,58.969999999999999,urban,yes,1.1000000000000001,5,0
D0161,60.270000000000003,46.530000000000001,urban,yes,1.3400000000000001,9,0
D0162,62,32.789999999999999,urban,yes,1.23,9,0
D0163,72.900000000000006,74.719999999999999,urban,yes,1.1299999999999999,6,0
D0164,61.329999999999998,12.44,mountain,yes,1.8600000000000001,5,0
D0165,53.420000000000002,39.619999999999997,urban,yes,1.28,8,0
D0166,27.93,48.549999999999997,urban,yes,1.1599999999999999,9,0
D0167,72.569999999999993,59.020000000000003,urban,yes,1.3200000000000001,12,1
D0168,72.560000000000002,51.710000000000001,urban,yes,1.23,5,0
D0169,46.899999999999999,55.18,urban,yes,1.2,7,1
D0170,88.640000000000001,73.269999999999996,urban,yes,1.1100000000000001,10,0
D0171,43.810000000000002,80.959999999999994,urban,yes,1.23,8,0
D0172,75.310000000000002,73.459999999999994,urban,yes,1.21,9,0
D0173,47.649999999999999,65.780000000000001,urban,no,,6,0
D0174,30.420000000000002,64.299999999999997,hill,yes,1.74,6,1
D0175,29.390000000000001,68.450000000000003,hill,no,,8,0
D0176,24.989999999999998,61.579999999999998,hill,yes,1.28,9,0
D0177,48.159999999999997,71.689999999999998,urban,yes,1.26,9,1
D0178,93.159999999999997,67.430000000000007,urban,yes,1.0700000000000001,8,0
D0179,28.34,88.489999999999995,hill,yes,1.5,7,1
D0180,93.950000000000003,68.810000000000002,urban,yes,1.1799999999999999,7,0
D0181,70.629999999999995,10.130000000000001,mountain,yes,1.79,4,0
D0182,66.420000000000002,58.380000000000003,urban,yes,1.3100000000000001,2,1
D0183,55.590000000000003,16.52,urban,yes,1.3200000000000001,8,0
D0184,55.420000000000002,76.959999999999994,urban,yes,1.3200000000000001,8,0
D0185,14.76,66.909999999999997,mountain,no,,5,0
D0186,32.219999999999999,37.740000000000002,urban,yes,1.3500000000000001,11,0
D0187,5.6900000000000004,75,lake,no,,3,1
D0188,91.760000000000005,62.140000000000001,urban,yes,1.1000000000000001,9,0
D0189,20.010000000000002,11.84,mountain,yes,2.2000000000000002,6,0
D0190,34.289999999999999,58.530000000000001,urban,yes,1.1100000000000001,9,1
D0191,79.430000000000007,64.930000000000007,hill,yes,1.52,10,0
D0192,49.479999999999997,97.620000000000005,urban,yes,1.0700000000000001,7,1
D0193,39.710000000000001,49.659999999999997,urban,yes,1.1799999999999999,7,0
D0194,96.689999999999998,62.020000000000003,urban,yes,1.1000000000000001,7,0
D0195,96.109999999999999,88.739999999999995,hill,yes,1.45,11,2
D0196,54.030000000000001,73.590000000000003,urban,yes,1.22,8,0
D0197,64.609999999999999,38.630000000000003,urban,yes,1.3100000000000001,6,0
D0198,14.57,62.060000000000002,hill,yes,1.6200000000000001,7,0
D0199,80.340000000000003,82.430000000000007,hill,yes,1.6399999999999999,7,2
D0200,53.240000000000002,7.1600000000000001,mountain,no,,2,0
D0201,50.399999999999999,26.52,urban,yes,1.24,9,0
D0202,87.359999999999999,37.670000000000002,hill,yes,1.6699999999999999,8,0
D0203,96.010000000000005,55.299999999999997,hill,yes,1.53,5,1
D0204,33.530000000000001,49.149999999999999,urban,yes,1.25,9,0
D0205,40.030000000000001,56.329999999999998,urban,yes,1.1200000000000001,9,0
D0206,23.530000000000001,36.399999999999999,urban,yes,1.3300000000000001,7,0
D0207,67.319999999999993,60.189999999999998,urban,yes,1.23,9,0
D0208,40.590000000000003,58.310000000000002,urban,yes,1.29,6,2
D0209,56.770000000000003,24.52,urban,yes,1.1299999999999999,3,0
D0210,34.539999999999999,39.609999999999999,urban,yes,1.1000000000000001,3,0
D0211,15.880000000000001,60.939999999999998,hill,yes,1.3300000000000001,9,0
D0212,15.57,89.980000000000004,lake,yes,1.45,2,1
D0213,22.600000000000001,53.850000000000001,urban,yes,1.1699999999999999,5,0
D0214,38.869999999999997,87.969999999999999,urban,yes,1.1899999999999999,9,1
D0215,97.670000000000002,79.219999999999999,hill,yes,1.4099999999999999,4,0
D0216,89.829999999999998,55.310000000000002,hill,yes,1.6699999999999999,6,0
D0217,99.420000000000002,64.180000000000007,urban,yes,1.3400000000000001,3,0
D0218,41.090000000000003,90.709999999999994,urban,yes,1.1100000000000001,8,0
D0219,42.359999999999999,51.729999999999997,urban,yes,1.25,9,2
D0220,73.019999999999996,61.07,hill,yes,1.3799999999999999,5,1
D0221,82.969999999999999,75.989999999999995,urban,yes,1.0800000000000001,3,0
D0222,43.289999999999999,61.229999999999997,urban,yes,1.22,6,0
D0223,72.959999999999994,29.199999999999999,mountain,no,,3,0
D0224,70.879999999999995,52.409999999999997,hill,yes,1.54,10,1
D0225,34.210000000000001,95.969999999999999,urban,yes,1.1399999999999999,4,0
D0226,25.300000000000001,64.5,hill,no,,8,0
D0227,38.060000000000002,8.0600000000000005,urban,yes,1.25,5,0
D0228,24.210000000000001,33.850000000000001,hill,yes,1.3700000000000001,4,0
D0229,29.07,36.640000000000001,urban,no,,4,0
D0230,86.980000000000004,75.5,urban,yes,1.3400000000000001,9,1
D0231,54.939999999999998,81.810000000000002,lake,no,,5,0
D0232,8.6500000000000004,4.8399999999999999,mountain,yes,1.6499999999999999,3,0
D0233,25.210000000000001,51.270000000000003,urban,yes,1.1399999999999999,6,0
D0234,83.150000000000006,26.75,mountain,no,,9,0
D0235,61.810000000000002,45.439999999999998,urban,yes,1.1499999999999999,5,0
D0236,12,44.600000000000001,lake,yes,1.6399999999999999,4,0
D0237,61.719999999999999,33.619999999999997,urban,yes,1.3300000000000001,5,0
D0238,94.560000000000002,62.009999999999998,urban,yes,1.0800000000000001,12,0
D0239,41.100000000000001,87.909999999999997,urban,yes,1.0700000000000001,7,1
D0240,35.329999999999998,45.030000000000001,urban,yes,1.3300000000000001,7,1
D0241,48.640000000000001,79.489999999999995,urban,yes,1.0600000000000001,5,0
D0242,72.790000000000006,53.009999999999998,urban,yes,1.29,5,2
D0243,93.590000000000003,20.960000000000001,hill,no,,6,0
D0244,72.969999999999999,70.659999999999997,urban,yes,1.22,7,2
D0245,37.159999999999997,52.390000000000001,urban,yes,1.1399999999999999,8,0
D0246,71.099999999999994,78.879999999999995,urban,yes,1.21,8,0
D0247,83.019999999999996,95.540000000000006,hill,no,,3,0
D0248,51.57,4.1600000000000001,mountain,no,,4,0
D0249,36.799999999999997,56.899999999999999,urban,yes,1.24,7,0
D0250,98.010000000000005,18.34,hill,yes,1.4199999999999999,3,0
D0251,32.560000000000002,47.719999999999999,urban,yes,1.29,5,1
D0252,21.18,45.979999999999997,urban,yes,1.3200000000000001,7,1
D0253,61.880000000000003,34.979999999999997,urban,yes,1.1499999999999999,7,0
D0254,42.590000000000003,47.020000000000003,urban,yes,1.28,8,0
D0255,93.379999999999995,69.409999999999997,urban,yes,1.3100000000000001,6,0
D0256,10.27,38.479999999999997,mountain,yes,2.2400000000000002,7,0
D0257,30.059999999999999,49.789999999999999,urban,yes,1.24,7,1
D0258,36.969999999999999,56.640000000000001,urban,yes,1.3200000000000001,8,0
D0259,21.66,87.579999999999998,hill,no,,5,0
D0260,17.239999999999998,32.020000000000003,lake,no,,6,1
D0261,36.960000000000001,16.460000000000001,hill,yes,1.51,6,0
D0262,51.700000000000003,57.990000000000002,urban,yes,1.1299999999999999,6,0
D0263,81.489999999999995,80.620000000000005,urban,yes,1.3100000000000001,9,0
D0264,45.590000000000003,70.700000000000003,urban,yes,1.1200000000000001,8,0
D0265,91.269999999999996,64.219999999999999,urban,yes,1.2,4,2
D0266,51.049999999999997,43.049999999999997,urban,yes,1.29,8,2
D0267,57.450000000000003,23.670000000000002,urban,yes,1.3400000000000001,10,0
D0268,72.569999999999993,77.739999999999995,urban,yes,1.1399999999999999,6,0
D0269,95.829999999999998,73.299999999999997,urban,yes,1.05,4,0
D0270,61.049999999999997,36.710000000000001,urban,yes,1.1499999999999999,6,1
D0271,23.43,26.420000000000002,hill,yes,1.3700000000000001,4,0
D0272,55.810000000000002,21.02,urban,yes,1.1899999999999999,7,0
D0273,60.409999999999997,48.149999999999999,urban,yes,1.0800000000000001,7,1
D0274,52.810000000000002,73.180000000000007,urban,yes,1.1200000000000001,9,0
D0275,64.719999999999999,59.729999999999997,urban,yes,1.1299999999999999,5,1
D0276,60.659999999999997,47.170000000000002,urban,yes,1.3200000000000001,3,0
D0277,65.920000000000002,47.25,urban,yes,1.1000000000000001,7,0
D0278,37.270000000000003,54.869999999999997,urban,yes,1.1499999999999999,7,0
D0279,50.640000000000001,93.739999999999995,urban,yes,1.3500000000000001,3,2
D0280,90.150000000000006,22,mountain,no,,5,0
D0281,53.030000000000001,83.129999999999995,lake,yes,1.6499999999999999,5,0
D0282,90.439999999999998,44.07,hill,yes,1.3200000000000001,4,1
D0283,52.740000000000002,45.229999999999997,urban,yes,1.3300000000000001,7,0
D0284,95.030000000000001,72.329999999999998,urban,yes,1.05,10,0
D0285,11.26,52.630000000000003,mountain,no,,5,0
D0286,28.420000000000002,75.680000000000007,hill,yes,1.3700000000000001,9,0
D0287,19.440000000000001,48.439999999999998,urban,yes,1.0800000000000001,3,0
D0288,90.590000000000003,36.789999999999999,hill,yes,1.28,8,1
D0289,13.01,81.299999999999997,lake,no,,5,0
D0290,50.659999999999997,43.530000000000001,urban,yes,1.0800000000000001,4,0
D0291,71.129999999999995,75.219999999999999,urban,yes,1.28,4,0
D0292,13.390000000000001,53.090000000000003,mountain,no,,3,0
D0293,49.579999999999998,49.18,urban,yes,1.23,4,1
D0294,24.460000000000001,48.350000000000001,urban,yes,1.23,12,1
D0295,74.209999999999994,50.259999999999998,urban,yes,1.29,9,1
D0296,96.870000000000005,72.890000000000001,urban,yes,1.0600000000000001,6,1
D0297,44.140000000000001,64.400000000000006,urban,yes,1.0700000000000001,14,0
D0298,80.5,93.469999999999999,hill,yes,1.48,2,0
D0299,23.949999999999999,37.020000000000003,urban,yes,1.1699999999999999,7,0
D0300,32.109999999999999,12.77,hill,no,,5,0
