包裹编号,需求点编号,包裹类型,包裹重量(kg),服务物流点编号,主干车辆编号,包裹离开物流中心时刻(h),货物到达物流点时刻(h),无人机编号,运输无人机起飞时刻(h),本包裹送达时刻(h),运输无人机返回时刻(h),运输无人机总载重(kg),运输无人机总航程(km)
D0030-A002,D0030,A类,1,,,,,,,,,,
D0030-A003,D0030,A类,1,,,,,,,,,,
D0030-A004,D0030,A类,1,,,,,,,,,,
D0030-A005,D0030,A类,1,,,,,,,,,,
D0030-A006,D0030,A类,1,,,,,,,,,,
D0030-A007,D0030,A类,1,,,,,,,,,,
D0030-A008,D0030,A类,1,,,,,,,,,,
D0031-A001,D0031,A类,1,,,,,,,,,,
D0031-A002,D0031,A类,1,,,,,,,,,,
D0031-A003,D0031,A类,1,,,,,,,,,,
D0031-A004,D0031,A类,1,,,,,,,,,,
D0031-A005,D0031,A类,1,,,,,,,,,,
D0031-A006,D0031,A类,1,,,,,,,,,,
D0031-A007,D0031,A类,1,,,,,,,,,,
D0031-A008,D0031,A类,1,,,,,,,,,,
D0031-A009,D0031,A类,1,,,,,,,,,,
D0032-A001,D0032,A类,1,,,,,,,,,,
D0032-A002,D0032,A类,1,,,,,,,,,,
D0032-A003,D0032,A类,1,,,,,,,,,,
D0032-A004,D0032,A类,1,,,,,,,,,,
D0032-A005,D0032,A类,1,,,,,,,,,,
D0032-A006,D0032,A类,1,,,,,,,,,,
D0032-A007,D0032,A类,1,,,,,,,,,,
D0032-A008,D0032,A类,1,,,,,,,,,,
D0032-A009,D0032,A类,1,,,,,,,,,,
D0033-A001,D0033,A类,1,,,,,,,,,,
D0033-A002,D0033,A类,1,,,,,,,,,,
D0033-A003,D0033,A类,1,,,,,,,,,,
D0033-A004,D0033,A类,1,,,,,,,,,,
D0033-A005,D0033,A类,1,,,,,,,,,,
D0034-A001,D0034,A类,1,,,,,,,,,,
D0034-A002,D0034,A类,1,,,,,,,,,,
D0034-A003,D0034,A类,1,,,,,,,,,,
D0034-A004,D0034,A类,1,,,,,,,,,,
D0034-A005,D0034,A类,1,,,,,,,,,,
D0034-B001,D0034,B类,5,,,,,,,,,,
D0035-A001,D0035,A类,1,,,,,,,,,,
D0035-A002,D0035,A类,1,,,,,,,,,,
D0035-A003,D0035,A类,1,,,,,,,,,,
D0035-A004,D0035,A类,1,,,,,,,,,,
D0035-A005,D0035,A类,1,,,,,,,,,,
D0035-A006,D0035,A类,1,,,,,,,,,,
D0035-B001,D0035,B类,5,,,,,,,,,,
D0036-A001,D0036,A类,1,,,,,,,,,,
D0036-A002,D0036,A类,1,,,,,,,,,,
D0036-A003,D0036,A类,1,,,,,,,,,,
D0036-A004,D0036,A类,1,,,,,,,,,,
D0036-A005,D0036,A类,1,,,,,,,,,,
D0036-A006,D0036,A类,1,,,,,,,,,,
D0037-A001,D0037,A类,1,,,,,,,,,,
D0037-A002,D0037,A类,1,,,,,,,,,,
D0037-A003,D0037,A类,1,,,,,,,,,,
D0037-A004,D0037,A类,1,,,,,,,,,,
D0037-B001,D0037,B类,5,,,,,,,,,,
D0038-A001,D0038,A类,1,,,,,,,,,,
D0038-A002,D0038,A类,1,,,,,,,,,,
D0038-A003,D0038,A类,1,,,,,,,,,,
D0038-A004,D0038,A类,1,,,,,,,,,,
D0038-A005,D0038,A类,1,,,,,,,,,,
D0038-A006,D0038,A类,1,,,,,,,,,,
D0038-A007,D0038,A类,1,,,,,,,,,,
D0038-A008,D0038,A类,1,,,,,,,,,,
D0038-B001,D0038,B类,5,,,,,,,,,,
D0039-A001,D0039,A类,1,,,,,,,,,,
D0039-A002,D0039,A类,1,,,,,,,,,,
D0039-A003,D0039,A类,1,,,,,,,,,,
D0039-A004,D0039,A类,1,,,,,,,,,,
D0039-A005,D0039,A类,1,,,,,,,,,,
D0039-A006,D0039,A类,1,,,,,,,,,,
D0039-A007,D0039,A类,1,,,,,,,,,,
D0039-A008,D0039,A类,1,,,,,,,,,,
D0039-A009,D0039,A类,1,,,,,,,,,,
D0039-A010,D0039,A类,1,,,,,,,,,,
D0040-A001,D0040,A类,1,,,,,,,,,,
D0040-A002,D0040,A类,1,,,,,,,,,,
D0040-A003,D0040,A类,1,,,,,,,,,,
D0041-A001,D0041,A类,1,,,,,,,,,,
D0041-A002,D0041,A类,1,,,,,,,,,,
D0041-A003,D0041,A类,1,,,,,,,,,,
D0041-A004,D0041,A类,1,,,,,,,,,,
D0041-A005,D0041,A类,1,,,,,,,,,,
D0041-A006,D0041,A类,1,,,,,,,,,,
D0041-A007,D0041,A类,1,,,,,,,,,,
D0041-A008,D0041,A类,1,,,,,,,,,,
D0041-B001,D0041,B类,5,,,,,,,,,,
D0042-A001,D0042,A类,1,,,,,,,,,,
D0042-A002,D0042,A类,1,,,,,,,,,,
D0042-A003,D0042,A类,1,,,,,,,,,,
D0042-A004,D0042,A类,1,,,,,,,,,,
D0042-A005,D0042,A类,1,,,,,,,,,,
D0042-B001,D0042,B类,5,,,,,,,,,,
D0043-A001,D0043,A类,1,,,,,,,,,,
D0043-A002,D0043,A类,1,,,,,,,,,,
D0043-A003,D0043,A类,1,,,,,,,,,,
D0043-A004,D0043,A类,1,,,,,,,,,,
D0043-A005,D0043,A类,1,,,,,,,,,,
D0043-A006,D0043,A类,1,,,,,,,,,,
D0043-A007,D0043,A类,1,,,,,,,,,,
D0043-A008,D0043,A类,1,,,,,,,,,,
D0043-A009,D0043,A类,1,,,,,,,,,,
D0043-A010,D0043,A类,1,,,,,,,,,,
D0044-A001,D0044,A类,1,,,,,,,,,,
D0044-A002,D0044,A类,1,,,,,,,,,,
D0044-A003,D0044,A类,1,,,,,,,,,,
D0044-A004,D0044,A类,1,,,,,,,,,,
D0044-A005,D0044,A类,1,,,,,,,,,,
D0044-A006,D0044,A类,1,,,,,,,,,,
D0044-A007,D0044,A类,1,,,,,,,,,,
D0044-A008,D0044,A类,1,,,,,,,,,,
D0045-A001,D0045,A类,1,,,,,,,,,,
D0045-A002,D0045,A类,1,,,,,,,,,,
D0045-A003,D0045,A类,1,,,,,,,,,,
D0045-A004,D0045,A类,1,,,,,,,,,,
D0045-A005,D0045,A类,1,,,,,,,,,,
D0045-A006,D0045,A类,1,,,,,,,,,,
D0045-A007,D0045,A类,1,,,,,,,,,,
D0046-A001,D0046,A类,1,,,,,,,,,,
D0046-A002,D0046,A类,1,,,,,,,,,,
D0046-A003,D0046,A类,1,,,,,,,,,,
D0046-A004,D0046,A类,1,,,,,,,,,,
D0046-A005,D0046,A类,1,,,,,,,,,,
D0046-A006,D0046,A类,1,,,,,,,,,,
D0046-B001,D0046,B类,5,,,,,,,,,,
D0047-A001,D0047,A类,1,,,,,,,,,,
D0047-A002,D0047,A类,1,,,,,,,,,,
D0047-A003,D0047,A类,1,,,,,,,,,,
D0047-A004,D0047,A类,1,,,,,,,,,,
D0047-A005,D0047,A类,1,,,,,,,,,,
D0047-B001,D0047,B类,5,,,,,,,,,,
D0048-A001,D0048,A类,1,,,,,,,,,,
D0048-A002,D0048,A类,1,,,,,,,,,,
D0048-A003,D0048,A类,1,,,,,,,,,,
D0048-A004,D0048,A类,1,,,,,,,,,,
D0048-A005,D0048,A类,1,,,,,,,,,,
D0049-A001,D0049,A类,1,,,,,,,,,,
D0049-A002,D0049,A类,1,,,,,,,,,,
D0049-A003,D0049,A类,1,,,,,,,,,,
D0049-A004,D0049,A类,1,,,,,,,,,,
D0049-A005,D0049,A类,1,,,,,,,,,,
D0049-A006,D0049,A类,1,,,,,,,,,,
D0050-A001,D0050,A类,1,,,,,,,,,,
D0050-A002,D0050,A类,1,,,,,,,,,,
D0050-A003,D0050,A类,1,,,,,,,,,,
D0050-A004,D0050,A类,1,,,,,,,,,,
D0050-A005,D0050,A类,1,,,,,,,,,,
D0050-A006,D0050,A类,1,,,,,,,,,,
D0051-A001,D0051,A类,1,,,,,,,,,,
D0051-A002,D0051,A类,1,,,,,,,,,,
D0052-A001,D0052,A类,1,,,,,,,,,,
D0052-A002,D0052,A类,1,,,,,,,,,,
D0052-A003,D0052,A类,1,,,,,,,,,,
D0052-A004,D0052,A类,1,,,,,,,,,,
D0052-A005,D0052,A类,1,,,,,,,,,,
D0052-A006,D0052,A类,1,,,,,,,,,,
D0052-A007,D0052,A类,1,,,,,,,,,,
D0052-B001,D0052,B类,5,,,,,,,,,,
D0053-A001,D0053,A类,1,,,,,,,,,,
D0053-A002,D0053,A类,1,,,,,,,,,,
D0053-B001,D0053,B类,5,,,,,,,,,,
D0054-A001,D0054,A类,1,,,,,,,,,,
D0054-A002,D0054,A类,1,,,,,,,,,,
D0054-A003,D0054,A类,1,,,,,,,,,,
D0054-A004,D0054,A类,1,,,,,,,,,,
D0054-A005,D0054,A类,1,,,,,,,,,,
D0054-A006,D0054,A类,1,,,,,,,,,,
D0054-A007,D0054,A类,1,,,,,,,,,,
D0054-A008,D0054,A类,1,,,,,,,,,,
D0054-A009,D0054,A类,1,,,,,,,,,,
D0054-A010,D0054,A类,1,,,,,,,,,,
D0054-A011,D0054,A类,1,,,,,,,,,,
D0054-A012,D0054,A类,1,,,,,,,,,,
D0054-B001,D0054,B类,5,,,,,,,,,,
D0055-A001,D0055,A类,1,,,,,,,,,,
D0055-A002,D0055,A类,1,,,,,,,,,,
D0055-A003,D0055,A类,1,,,,,,,,,,
D0055-A004,D0055,A类,1,,,,,,,,,,
D0055-A005,D0055,A类,1,,,,,,,,,,
D0056-A001,D0056,A类,1,,,,,,,,,,
D0056-A002,D0056,A类,1,,,,,,,,,,
D0057-A001,D0057,A类,1,,,,,,,,,,
D0057-A002,D0057,A类,1,,,,,,,,,,
D0057-A003,D0057,A类,1,,,,,,,,,,
D0057-B001,D0057,B类,5,,,,,,,,,,
D0058-A001,D0058,A类,1,,,,,,,,,,
D0058-A002,D0058,A类,1,,,,,,,,,,
D0058-B001,D0058,B类,5,,,,,,,,,,
D0059-A001,D0059,A类,1,,,,,,,,,,
D0059-A002,D0059,A类,1,,,,,,,,,,
D0059-A003,D0059,A类,1,,,,,,,,,,
D0059-A004,D0059,A类,1,,,,,,,,,,
D0059-A005,D0059,A类,1,,,,,,,,,,
D0059-A006,D0059,A类,1,,,,,,,,,,
D0059-A007,D0059,A类,1,,,,,,,,,,
D0060-A001,D0060,A类,1,,,,,,,,,,
D0060-A002,D0060,A类,1,,,,,,,,,,
D0060-A003,D0060,A类,1,,,,,,,,,,
D0060-A004,D0060,A类,1,,,,,,,,,,
D0060-A005,D0060,A类,1,,,,,,,,,,
D0060-A006,D0060,A类,1,,,,,,,,,,
D0060-A007,D0060,A类,1,,,,,,,,,,
D0060-A008,D0060,A类,1,,,,,,,,,,
D0061-A001,D0061,A类,1,,,,,,,,,,
D0061-A002,D0061,A类,1,,,,,,,,,,
D0061-A003,D0061,A类,1,,,,,,,,,,
D0061-A004,D0061,A类,1,,,,,,,,,,
D0061-A005,D0061,A类,1,,,,,,,,,,
D0061-A006,D0061,A类,1,,,,,,,,,,
D0061-A007,D0061,A类,1,,,,,,,,,,
D0061-A008,D0061,A类,1,,,,,,,,,,
D0061-A009,D0061,A类,1,,,,,,,,,,
D0061-A010,D0061,A类,1,,,,,,,,,,
D0061-A011,D0061,A类,1,,,,,,,,,,
D0061-B001,D0061,B类,5,,,,,,,,,,
D0062-A001,D0062,A类,1,,,,,,,,,,
D0062-A002,D0062,A类,1,,,,,,,,,,
D0062-A003,D0062,A类,1,,,,,,,,,,
D0062-A004,D0062,A类,1,,,,,,,,,,
D0062-A005,D0062,A类,1,,,,,,,,,,
D0062-A006,D0062,A类,1,,,,,,,,,,
D0062-A007,D0062,A类,1,,,,,,,,,,
D0062-B001,D0062,B类,5,,,,,,,,,,
D0063-A001,D0063,A类,1,,,,,,,,,,
D0063-A002,D0063,A类,1,,,,,,,,,,
D0063-A003,D0063,A类,1,,,,,,,,,,
D0063-A004,D0063,A类,1,,,,,,,,,,
D0063-A005,D0063,A类,1,,,,,,,,,,
D0063-A006,D0063,A类,1,,,,,,,,,,
D0064-A001,D0064,A类,1,,,,,,,,,,
D0064-A002,D0064,A类,1,,,,,,,,,,
D0064-A003,D0064,A类,1,,,,,,,,,,
D0064-A004,D0064,A类,1,,,,,,,,,,
D0064-A005,D0064,A类,1,,,,,,,,,,
D0065-A001,D0065,A类,1,,,,,,,,,,
D0065-A002,D0065,A类,1,,,,,,,,,,
D0065-A003,D0065,A类,1,,,,,,,,,,
D0065-A004,D0065,A类,1,,,,,,,,,,
D0066-A001,D0066,A类,1,,,,,,,,,,
D0066-A002,D0066,A类,1,,,,,,,,,,
D0066-A003,D0066,A类,1,,,,,,,,,,
D0066-A004,D0066,A类,1,,,,,,,,,,
D0067-A001,D0067,A类,1,,,,,,,,,,
D0067-A002,D0067,A类,1,,,,,,,,,,
D0067-A003,D0067,A类,1,,,,,,,,,,
D0067-A004,D0067,A类,1,,,,,,,,,,
D0068-A001,D0068,A类,1,,,,,,,,,,
D0068-A002,D0068,A类,1,,,,,,,,,,
D0068-A003,D0068,A类,1,,,,,,,,,,
D0068-A004,D0068,A类,1,,,,,,,,,,
D0068-A005,D0068,A类,1,,,,,,,,,,
D0068-A006,D0068,A类,1,,,,,,,,,,
D0068-A007,D0068,A类,1,,,,,,,,,,
D0069-A001,D0069,A类,1,,,,,,,,,,
D0069-A002,D0069,A类,1,,,,,,,,,,
D0069-A003,D0069,A类,1,,,,,,,,,,
D0069-A004,D0069,A类,1,,,,,,,,,,
D0069-A005,D0069,A类,1,,,,,,,,,,
D0069-A006,D0069,A类,1,,,,,,,,,,
D0069-A007,D0069,A类,1,,,,,,,,,,
D0069-A008,D0069,A类,1,,,,,,,,,,
D0069-A009,D0069,A类,1,,,,,,,,,,
D0069-A010,D0069,A类,1,,,,,,,,,,
D0069-A011,D0069,A类,1,,,,,,,,,,
D0069-A012,D0069,A类,1,,,,,,,,,,
D0069-A013,D0069,A类,1,,,,,,,,,,
D0069-A014,D0069,A类,1,,,,,,,,,,
D0070-A001,D0070,A类,1,,,,,,,,,,
D0070-A002,D0070,A类,1,,,,,,,,,,
D0070-B001,D0070,B类,5,,,,,,,,,,
D0071-A001,D0071,A类,1,,,,,,,,,,
D0071-A002,D0071,A类,1,,,,,,,,,,
D0071-A003,D0071,A类,1,,,,,,,,,,
D0071-A004,D0071,A类,1,,,,,,,,,,
D0071-A005,D0071,A类,1,,,,,,,,,,
D0071-A006,D0071,A类,1,,,,,,,,,,
D0072-A001,D0072,A类,1,,,,,,,,,,
D0072-A002,D0072,A类,1,,,,,,,,,,
D0072-A003,D0072,A类,1,,,,,,,,,,
D0072-A004,D0072,A类,1,,,,,,,,,,
D0072-A005,D0072,A类,1,,,,,,,,,,
D0072-A006,D0072,A类,1,,,,,,,,,,
D0072-A007,D0072,A类,1,,,,,,,,,,
D0072-B001,D0072,B类,5,,,,,,,,,,
D0073-A001,D0073,A类,1,,,,,,,,,,
D0073-A002,D0073,A类,1,,,,,,,,,,
D0073-A003,D0073,A类,1,,,,,,,,,,
D0073-A004,D0073,A类,1,,,,,,,,,,
D0073-A005,D0073,A类,1,,,,,,,,,,
D0073-A006,D0073,A类,1,,,,,,,,,,
D0073-A007,D0073,A类,1,,,,,,,,,,
D0073-A008,D0073,A类,1,,,,,,,,,,
D0073-B001,D0073,B类,5,,,,,,,,,,
D0074-A001,D0074,A类,1,,,,,,,,,,
D0074-A002,D0074,A类,1,,,,,,,,,,
D0074-A003,D0074,A类,1,,,,,,,,,,
D0074-A004,D0074,A类,1,,,,,,,,,,
D0074-A005,D0074,A类,1,,,,,,,,,,
D0074-A006,D0074,A类,1,,,,,,,,,,
D0075-A001,D0075,A类,1,,,,,,,,,,
D0075-A002,D0075,A类,1,,,,,,,,,,
D0075-A003,D0075,A类,1,,,,,,,,,,
D0075-A004,D0075,A类,1,,,,,,,,,,
D0075-A005,D0075,A类,1,,,,,,,,,,
D0075-A006,D0075,A类,1,,,,,,,,,,
D0075-A007,D0075,A类,1,,,,,,,,,,
D0075-A008,D0075,A类,1,,,,,,,,,,
D0076-A001,D0076,A类,1,,,,,,,,,,
D0076-A002,D0076,A类,1,,,,,,,,,,
D0076-A003,D0076,A类,1,,,,,,,,,,
D0076-A004,D0076,A类,1,,,,,,,,,,
D0076-A005,D0076,A类,1,,,,,,,,,,
D0076-A006,D0076,A类,1,,,,,,,,,,
D0076-A007,D0076,A类,1,,,,,,,,,,
D0076-A008,D0076,A类,1,,,,,,,,,,
D0076-A009,D0076,A类,1,,,,,,,,,,
D0077-A001,D0077,A类,1,,,,,,,,,,
D0077-A002,D0077,A类,1,,,,,,,,,,
D0077-A003,D0077,A类,1,,,,,,,,,,
D0077-A004,D0077,A类,1,,,,,,,,,,
D0077-A005,D0077,A类,1,,,,,,,,,,
D0077-A006,D0077,A类,1,,,,,,,,,,
D0077-A007,D0077,A类,1,,,,,,,,,,
D0077-A008,D0077,A类,1,,,,,,,,,,
D0077-A009,D0077,A类,1,,,,,,,,,,
D0077-A010,D0077,A类,1,,,,,,,,,,
D0077-A011,D0077,A类,1,,,,,,,,,,
D0078-A001,D0078,A类,1,,,,,,,,,,
D0078-A002,D0078,A类,1,,,,,,,,,,
D0078-A003,D0078,A类,1,,,,,,,,,,
D0078-A004,D0078,A类,1,,,,,,,,,,
D0078-B001,D0078,B类,5,,,,,,,,,,
D0079-A001,D0079,A类,1,,,,,,,,,,
D0079-A002,D0079,A类,1,,,,,,,,,,
D0079-A003,D0079,A类,1,,,,,,,,,,
D0079-A004,D0079,A类,1,,,,,,,,,,
D0079-A005,D0079,A类,1,,,,,,,,,,
D0079-A006,D0079,A类,1,,,,,,,,,,
