附件1B：区域间输电通道月度监测数据,,,,,,
月份,通道编号,送端区域,受端区域,送端计量电量,受端计量电量,通道月度容量上限
2025-10,E11,A8,A7,98.3295570147706,94.051124463391744,430
2025-11,E01,A1,A2,25.323303386798141,24.674811616071377,1050
2025-11,E02,A1,A3,0,0,900
2025-11,E03,A4,A2,170.96626852875269,166.88673751636006,820
2025-11,E04,A2,A5,45.906901171219694,44.087635325313833,560
2025-11,E05,A4,A3,509.34092721023859,499.8888793801184,720
2025-11,E06,A3,A6,0,0,700
2025-11,E07,A4,A6,0,0,780
2025-11,E08,A5,A7,0,0,520
2025-11,E09,A5,A8,0,0,460
2025-11,E10,A6,A8,171.48570456875953,165.41153078260345,620
2025-11,E11,A8,A7,97.52632554808504,94.074308768993845,430
2025-12,E01,A1,A2,51.084189305910648,49.975780960089892,1050
2025-12,E02,A1,A3,0,0,900
2025-12,E03,A4,A2,234.04790719012024,228.81528125564745,820
2025-12,E04,A2,A5,117.35364133833892,112.74691658378929,560
2025-12,E05,A4,A3,537.17630008913147,529.57578026433134,720
2025-12,E06,A3,A6,0,0,700
2025-12,E07,A4,A6,0,0,780
2025-12,E08,A5,A7,0,0,520
2025-12,E09,A5,A8,0,0,460
2025-12,E10,A6,A8,230.45179143472637,222.74592455410126,620
2025-12,E11,A8,A7,135.6677700737481,129.82173107225529,430
,,,,,,
说明：送端与受端计量值不相等，差额包括正常线损和监测误差。,,,,,,
